id,c000,ca01,ca02,ca03,ce01,ce02,ce03,cns01,cns02,cns03,cns04,cns05,cns06,cns07,cns08,cns09,cns10,cns11,cns12,cns13,cns14,cns15,cns16,cns17,cns18,cns19,cns20,cr01,cr02,cr03,cr04,cr05,cr07,ct01,ct02,cd01,cd02,cd03,cd04,cg01,cg02,longitude,latitude,sum_workers
060411200011004,34,8,13,13,7,6,21,0,0,0,0,0,3,8,0,0,2,0,11,0,0,0,0,0,1,9,0,31,0,0,3,0,0,30,4,3,3,9,11,18,16,-122.5487526741654,37.9470341852347,264
060411200011006,5,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,1,0,0,4,1,3,0,1,1,1,4,-122.54814680350441,37.94602487689778,40
060411200011008,19,0,11,8,2,10,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,7,0,0,18,0,1,0,0,0,15,4,2,0,5,12,13,6,-122.54608864327435,37.94351028367373,152
060411200011009,10,0,9,1,2,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,3,0,0,0,0,6,4,2,2,5,1,3,7,-122.54561960374899,37.94367220152887,80
060411200011010,2,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,1,1,-122.54446239182818,37.94626667283001,16
060411200011002,62,12,35,15,6,17,39,0,0,0,0,0,0,34,0,0,0,0,0,0,0,10,11,0,5,2,0,48,5,1,6,0,2,56,6,2,14,12,22,27,35,-122.5465143487314,37.94803636034778,484
060411200011005,10,0,6,4,0,4,6,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,3,2,3,5,0,9,1,-122.54693651038136,37.946000089672744,80
060411200011017,72,9,36,27,16,20,36,0,0,0,0,0,0,23,0,0,0,12,2,0,0,0,35,0,0,0,0,59,0,2,10,0,1,57,15,5,16,21,21,27,45,-122.54022131127661,37.94384376498353,567
060411200024004,136,27,80,29,21,37,78,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,119,0,0,0,0,99,7,1,22,0,7,108,28,14,24,27,44,51,85,-122.53899824470477,37.94231145499592,1061
060411212002013,1238,218,723,297,343,135,760,0,0,0,0,0,15,23,3,131,109,12,497,1,208,156,30,0,50,3,0,953,47,3,198,4,33,1090,148,82,164,298,476,588,650,-122.50931519430662,37.9471589748079,9686
060411212002014,15,1,11,3,1,1,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,9,3,0,2,1,0,12,3,0,4,5,5,7,8,-122.50750111018314,37.949838866219004,119
060411212002017,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,-122.51209128529327,37.94860238060398,8
060411212002015,100,20,51,29,41,14,45,0,0,0,0,0,0,2,0,0,28,3,19,0,0,0,2,13,33,0,0,64,5,0,25,0,6,80,20,9,18,30,23,42,58,-122.50798185246623,37.948639133513915,780
060411212002016,29,3,20,6,1,2,26,0,0,0,0,0,0,0,0,0,25,0,1,0,2,0,1,0,0,0,0,25,0,0,4,0,0,27,2,2,5,7,12,17,12,-122.50607476153513,37.948190897685706,229
060411212002012,712,85,384,243,116,75,521,0,0,0,0,0,51,62,120,0,84,33,27,28,24,0,216,0,64,3,0,534,57,4,97,1,19,597,115,61,85,199,282,319,393,-122.51133769340179,37.94762847060564,5611
060411070004011,3,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,2,1,2,-122.58831041249819,38.03427147565716,24
060411070004000,48,6,22,20,5,12,31,0,0,0,16,0,0,1,0,0,0,1,18,0,0,0,10,2,0,0,0,35,6,1,6,0,0,45,3,4,8,14,16,28,20,-122.58765232159732,38.034037541152706,378
060411070004008,23,7,15,1,2,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,16,2,0,2,0,3,20,3,2,2,6,6,7,16,-122.58860913124559,38.02658073086624,177
060411141001012,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,1,-122.5803597533571,37.9856281470374,16
060411141001011,7,3,3,1,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,4,0,0,3,1,2,5,-122.58121797947715,37.985410409654584,53
060411141001000,22,2,17,3,12,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,15,0,0,0,20,0,0,1,0,1,20,2,1,3,6,10,2,20,-122.58043171190789,37.986242750604305,174
060411141001001,14,4,8,2,8,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,13,1,0,0,0,0,8,6,1,0,5,4,6,8,-122.58174998983253,37.98634713157827,108
060411141001002,347,94,168,85,72,208,67,0,0,0,2,0,0,322,0,0,0,0,0,0,0,0,0,0,23,0,0,296,14,3,19,1,14,240,107,58,66,75,54,182,165,-122.5843353930874,37.986530708016204,2682
060411141001021,34,5,16,13,5,8,21,0,0,0,14,0,0,3,0,0,0,0,2,0,2,0,10,0,0,3,0,29,0,0,2,0,3,28,6,6,5,5,13,18,16,-122.5850638487433,37.98392659164221,267
060411141001022,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,-122.58166419381247,37.98431360590883,8
060411142001000,16,3,5,8,9,4,3,0,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,14,0,0,1,0,1,14,2,0,5,4,4,7,9,-122.59037010937838,38.003228206734555,125
060411041032001,10,3,3,4,2,0,8,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,9,0,0,1,0,0,6,4,2,1,3,1,6,4,-122.57565487134013,38.08695885232334,77
060411150001011,4,0,4,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,1,2,4,0,-122.57339590278686,37.99219680425249,32
